cp,tp
5.27E-06,0.001135066
6.44E-06,0.001133385
6.44E-06,0.001133385
6.44E-06,0.001131703
6.44E-06,0.00112834
5.85E-06,0.001126659
5.85E-06,0.001124977
4.68E-06,0.001121614
4.10E-06,0.001119932
2.93E-06,0.001119932
1.76E-06,0.001118251
3.51E-06,0.001124977
4.68E-06,0.001130022
6.44E-06,0.001136748
8.19E-06,0.001145156
1.35E-05,0.001146837
1.87E-05,0.001146837
2.40E-05,0.001148519
2.81E-05,0.001148519
2.87E-05,0.001146837
2.93E-05,0.001145156
2.98E-05,0.001141793
2.87E-05,0.001133385
2.93E-05,0.001123295
2.98E-05,0.001113206
3.04E-05,0.001103116
2.93E-05,0.001093027
2.69E-05,0.001084619
2.46E-05,0.001076211
2.17E-05,0.001067803
2.22E-05,0.00106444
2.40E-05,0.00106444
2.52E-05,0.001066122
2.63E-05,0.001067803
2.58E-05,0.001071166
2.58E-05,0.001076211
2.63E-05,0.001081256
2.63E-05,0.001087982
2.28E-05,0.001087982
1.93E-05,0.001084619
1.58E-05,0.001082937
1.35E-05,0.001081256
1.17E-05,0.001076211
9.95E-06,0.001071166
8.19E-06,0.001067803
7.61E-06,0.001054351
7.02E-06,0.001034172
7.02E-06,0.001013993
6.44E-06,0.000995495
6.44E-06,0.000966908
5.27E-06,0.000943366
4.10E-06,0.000918143
2.93E-06,0.000892919
3.51E-06,0.00087274
2.93E-06,0.00086265
2.93E-06,0.000854243
2.34E-06,0.000845835
2.34E-06,0.000835745
2.34E-06,0.000823974
2.34E-06,0.000812203
2.34E-06,0.000800432
1.76E-06,0.000790343
2.34E-06,0.000780253
2.34E-06,0.000770164
2.93E-06,0.000761756
2.93E-06,0.000773527
3.51E-06,0.000785298
4.10E-06,0.000797069
4.10E-06,0.000812203
3.51E-06,0.000812203
2.34E-06,0.000812203
1.17E-06,0.000812203
1.17E-06,0.000818929
5.85E-07,0.000829019
5.85E-07,0.00084079
0,0.000852561
0,0.00087274
0,0.000897964
0,0.000921506
0,0.000945048
0,0.000970272
0,0.000987087
0,0.001005585
0,0.001022401
0,0.001015674
0,0.001003903
0,0.000992132
0,0.000978679
0,0.000973635
0,0.000971953
0,0.000970272
0,0.00096859
0,0.001008948
0,0.001047624
0,0.001087982
0,0.001113206
0,0.001109843
0,0.001104798
0,0.001099753
0,0.001098072
0,0.001081256
0,0.001062758
0,0.001044261
0,0.001025764
0,0.00100054
0,0.000975316
0,0.000950093
0,0.000892919
0,0.000827337
0,0.000761756
0,0.000699537
0,0.000664224
0,0.000630592
0,0.000598642
0,0.000565011
0,0.000556603
0,0.000548195
0,0.000538106
0,0.000528016
0,0.000514563
0,0.000501111
0,0.000485977
0,0.000475887
0,0.000464116
0,0.000452345
0,0.000442256
0,0.000433848
0,0.000435529
0,0.000437211
0,0.000438892
0,0.000442256
0,0.000448982
0,0.00045739
0,0.000464116
0,0.000460753
0,0.000459071
0,0.000455708
0,0.000452345
0,0.000443937
0,0.000437211
0,0.000428803
0,0.000422077
0,0.000422077
0,0.000422077
0,0.000422077
0,0.000420395
0,0.000417032
0,0.00041535
0,0.000411987
0,0.000405261
0,0.00039349
0,0.000381719
0,0.000371629
0,0.000358177
0,0.000344724
0,0.00032959
0,0.000317819
0,0.000321182
0,0.000324545
0,0.000327908
0,0.000324545
0,0.000312774
0,0.000302684
0,0.000290913
0,0.000280824
0,0.00026569
0,0.000250555
0,0.000237103
0,0.00022365
0,0.000218605
0,0.000211879
0,0.000206834
0,0.000216924
0,0.000243829
0,0.000269053
0,0.000295958
0,0.000304366
0,0.000316137
0,0.000327908
0,0.000336316
0,0.000346405
0,0.000359858
0,0.000371629
0,0.000381719
0,0.0003834
0,0.000385082
0,0.000386763
0,0.000386763
0,0.000381719
0,0.000376674
0,0.000371629
0,0.000373311
0,0.000388445
0,0.000403579
0,0.000418713
0,0.000427121
0,0.000435529
0,0.000443937
0,0.000452345
0,0.000460753
0,0.000470842
0,0.00047925
0,0.000494384
0,0.000497748
0,0.00048934
0,0.000480932
0,0.000474206
0,0.000462434
0,0.000448982
0,0.000433848
0,0.000422077
0,0.000420395
0,0.000417032
0,0.00041535
0,0.000417032
0,0.000423758
0,0.000428803
0,0.000435529
0,0.000432166
0,0.000437211
0,0.000442256
0,0.000445619
0,0.000448982
0,0.000459071
0,0.000467479
0,0.000477569
0,0.00047925
0,0.000477569
0,0.000477569
0,0.000475887
0,0.000496066
0,0.000507837
0,0.000519608
0,0.000522971
